currency,indexvertex
0G,1
1INCH,2
2Z,3
AAVE,5
AB,6
ACA,7
ACH,8
ACT,9
ACX,10
ADA,11
ADX,12
AERO,13
A,4
AEVO,14
AGLD,15
AI16Z,16
AI3,17
AIOZ,18
AIR,19
AIXBT,20
AKE,21
AKT,22
ALCH,23
ALCX,24
ALGO,25
ALICE,26
ALKIMI,27
ALPHA,28
ALT,29
ALTHEA,30
ANIME,31
ANKR,32
ANLOG,33
ANON,34
APE,35
APENFT,36
API3,37
APR,38
APT,39
APU,40
ARB,42
ARC,43
AR,41
ARKM,44
ARPA,45
ART,46
ASRR,47
ASTER,48
ASTR,49
ATH,50
ATLAS,51
ATOM,52
AUCTION,53
AUDIO,55
AUD,54
AURA,56
AVAAI,57
AVAX,58
AVNT,59
AXS,60
B2,61
B3,62
BABY,63
BADGER,64
BAL,65
BANANAS31,66
BAND,67
BAT,68
BCH,69
BDXN,70
BEAM,71
BERA,72
BERT,73
BICO,74
BIGTIME,75
BILLY,76
BIO,77
BIT,78
BLESS,79
BLUAI,80
BLUR,81
BLZ,82
BMT,83
BNB,84
BNC,85
BNT,86
BOBA,87
BODEN,88
BOND,89
BONK,90
BOS,91
BRICK,92
BSX,93
BTR,94
BTT,95
C98,96
CAKE,98
CAMP,99
CARV,100
CAT,101
CCD,102
CELO,103
CELR,104
CFG,105
CGN,106
CHEEMS,107
CHEX,108
CHILLHOUSE,110
CHR,111
CHZ,112
CLANKER,113
CLOUD,114
CLV,115
CMETH,116
COMP,117
COOKIE,118
COQ,119
CORN,120
COTI,121
COW,122
CPOOL,123
CQT,124
CRO,125
CRV,126
CSM,127
CTC,128
CTSI,129
CVC,130
CVX,131
CXT,132
CYBER,133
DAI,134
DASH,135
DBR,136
DEEP,137
DEGEN,138
DENT,139
DMC,140
DOG,141
DOGS,142
DOLO,143
DOT,144
DRIFT,145
DRV,146
DUCK,147
DYDX,148
DYM,149
EAT,150
EDGE,151
EGLD,152
EIGEN,153
ELX,154
ENA,155
ENJ,156
ENS,157
ENSO,158
EPT,159
ES,160
ESX,161
ETH,163
ETHFI,164
ETHW,165
EUL,166
EUR,167
EURC,168
EUROP,169
EURQ,170
EURR,171
EWT,172
FARM,173
FARTCOIN,174
FET,175
FF,176
FHE,177
FIDA,178
FIL,179
FIS,180
FLOKI,181
FLOW,182
FLR,183
FLUX,184
FLY,185
FORTH,186
FWOG,187
FXS,188
GAIA,190
GALA,192
GAL,191
GARI,193
G,189
GFI,195
GHIBLI,196
GHST,197
GIGA,198
GLMR,199
GMT,200
GMX,201
GNO,202
GOAT,203
GOMINING,204
GRASS,205
GRIFFAIN,206
GRT,207
GST,208
GTC,209
GUN,210
HBAR,212
HDX,213
H,211
HFT,214
HIPPO,215
HMSTR,216
HNT,217
HONEY,218
HOUSE,219
HPOS10I,220
ICNT,221
ICP,222
ICX,223
IDEX,224
IMX,225
INIT,226
INJ,227
INTR,228
IP,229
JAILSTOOL,230
JASMY,231
JITOSOL,232
JOE,233
JST,235
JTO,236
JUNO,237
JUP,238
KAITO,239
KAR,240
KAS,241
KAVA,242
KEEP,243
KERNEL,244
KET,245
KEY,246
KGEN,247
KIN,248
KINT,249
KMNO,250
KNC,251
KOBAN,252
KP3R,253
KSM,254
KTA,255
L3,256
LAYER,257
LCAP,258
LCX,259
LDO,260
LINEA,261
LINK,262
LION,263
LIT,264
LMWR,265
LOBO,266
LOCKIN,267
LOFI,268
LPT,269
LQTY,270
LRC,271
LSETH,272
LSK,273
LSSOL,274
LTC,275
LUNA2,277
LUNA,276
MANA,279
MASK,280
MAT,281
MC,282
ME,283
MELANIA,284
MEME,285
MERL,286
MET,287
METH,288
METIS,289
M,278
MEW,290
MF,291
MICHI,292
MIM,293
MINA,294
MIRA,296
MIR,295
MIRROR,297
MNGO,299
MNT,300
MOCA,301
MOG,302
MOODENG,303
MOON,304
MORPHO,305
MOVE,306
